(1, 2), (65, 175), (210, 350)
(1, 6), (25, 315), (0, 0)
(2, 2), (10, 50), (250, 310)
(2, 3), (20, 60), (210, 250)
(2, 4), (5, 70), (155, 185)
(3, 2), (110, 160), (310, 350)
(3, 3), (0, 180), (270, 360)
(4, 4), (25, 315), (0, 0)
(4, 5), (90, 205), (205, 340)
(5, 2), (60, 195), (0, 0)
(5, 4), (15, 290), (0, 0)
(5, 6), (25, 315), (0, 0)
(7, 1), (70, 340), (0 ,0)
(7, 3), (10, 50), (300, 330)
(9, 1), (90, 180), (300, 340)
(9, 2), (105, 165), (0, 0)
(9, 3), (115, 165), (270, 360)
(9, 4), (0, 50), (280, 360)
(10, 2), (175, 250), (0, 0)
(11, 2), (70, 250), (0, 0)
