(1, 2), (70, 110), (190, 260), (6,)
(2, 3), (100, 140), (290, 365), (6,)
(2, 4), (0, 0), (0, 0), (0,)
(3, 2), (20, 60), (210, 250), (10,)
(3, 3), (20, 60), (210, 250), (9,)
(3, 4), (210, 225), (260, 340), (5,)
(3, 1), (0, 180), (270, 450), (5,)
(4, 2), (90, 130), (170, 280), (5,)
(4, 4), (30, 270), (270, 280), (5,)
(5, 2), (170, 260), (260, 280), (5,)
(5, 3), (45, 55), (135, 315), (6,)
(5, 4), (90, 180), (180, 315), (6,)
# (9, 1), (90, 180), (300, 340), (5,)
# (9, 2), (105, 165), (0, 0)
# (9, 3), (115, 165), (270, 360)
