section,sweep_param,sweep_value,sweep_label,param_B,value_B,signed_bias,cmro2_bias,cmro2_rel_bias,cmro2_mean,cmro2_std,R0_mean,pves_mean,pO2_abs_err,pO2_rel_err,spread
CROSS,cmro2_true,2.0,2.00,obs_std,10.0,0.02356384541604517,0.02356384541604517,,,0.08555739490902652,,,0.1304871337631754,,
CROSS,cmro2_true,2.5,2.50,obs_std,1.0,-0.043318001817949536,0.043318001817949536,,,0.03136396198307463,,,0.17273218094632217,,
CROSS,cmro2_true,2.5,2.50,obs_std,3.25,-0.030178521197569808,0.030178521197569808,,,0.05789782265402387,,,0.18300177854546085,,
CROSS,cmro2_true,2.5,2.50,obs_std,5.5,-0.025577557408826834,0.025577557408826834,,,0.07781880052247192,,,0.2379935153242664,,
CROSS,cmro2_true,2.5,2.50,obs_std,7.75,0.012922285115195109,0.012922285115195109,,,0.08444965123319972,,,0.12963687767698046,,
CROSS,cmro2_true,2.5,2.50,obs_std,10.0,0.03390386766594933,0.03390386766594933,,,0.06854245977587582,,,0.2166621157516645,,
OAT,R0_std,2.0,2.0,,,-0.006803419209452155,0.006803419209452155,0.34017096030252225,2.006803419209452,0.05615269900629876,100.09035722969843,80.38625596744534,0.06000972558429698,0.14115096373820557,0.05520888894766481
OAT,R0_std,4.0,4.0,,,-0.07011708319119458,0.07011708319119458,3.505854157806802,2.0701170831911946,0.056481821458291795,98.82429658408611,80.30291244042031,0.15623732870248588,0.3953185210345751,0.05553247953589688
OAT,R0_std,6.0,6.0,,,-0.03774210696325442,0.03774210696325442,1.8871053472191681,2.0377421069632544,0.07813779028227641,99.21591125884775,79.9834624932221,0.1324318834791455,0.33893322191321207,0.07682445657378327
OAT,R0_std,8.0,8.0,,,-0.02601514322237719,0.02601514322237719,1.3007571604684809,2.026015143222377,0.06765790740719545,98.61113597975005,79.15610224087827,0.17528052629420873,0.42127802006540155,0.06652071872905421
OAT,R0_std,10.0,10.0,,,0.034712750280746274,0.034712750280746274,1.735637513169495,1.9652872497192537,0.0718040357065415,100.51941812648603,80.01537825619785,0.2353153615152697,0.5963396912775639,0.0705971592366724
OAT,R0_true,80.0,80,,,-0.07033659893885957,0.07033659893885957,3.516829945184564,2.0703365989388596,0.09089506354386431,79.5712576905999,80.54454783906468,0.04648480660191003,0.07613891942767838,0.08936730661016382
OAT,R0_true,90.0,90,,,-0.019467068596604076,0.019467068596604076,0.9733534293435271,2.019467068596604,0.06666984724637708,89.85726643106496,80.17845133252618,0.06486206167705463,0.13069271095729512,0.06554926580412689
OAT,R0_true,100.0,100,,,-0.04956323857743561,0.04956323857743561,2.4781619276326996,2.0495632385774356,0.04532035355387173,99.10380759873678,80.0076993398754,0.17104921606394957,0.43405205734300295,0.04455861268830455
OAT,R0_true,110.0,110,,,0.012324959850825712,0.012324959850825712,0.6162479922331616,1.9876750401491743,0.03449221526428204,109.58327319017226,79.06861970704874,0.14247590096054613,0.4728188286875814,0.0339124728781263
OAT,R0_true,120.0,120,,,-0.0031801715872523673,0.0031801715872523673,0.15900857928311404,2.0031801715872524,0.02189604937437395,119.97712549187708,80.3344409533363,0.232811383300292,1.6550201618314961,0.021528022333651264
OAT,cmro2_std,0.1,0.100,,,-0.0028402600575687664,0.0028402600575687664,0.14201300280743182,2.0028402600575688,0.03571736763455435,100.17652744644961,80.37565466780754,0.07500730813742053,0.17934664378315557,0.035117032985677775
OAT,cmro2_std,0.325,0.325,,,-0.0664601380237353,0.0664601380237353,3.3230068995252613,2.0664601380237353,0.04079914941397405,99.01149687693699,80.29413369773607,0.15173917699646433,0.3826985096388752,0.04011340058476285
OAT,cmro2_std,0.55,0.550,,,-0.05304032549228266,0.05304032549228266,2.6520162732881247,2.0530403254922827,0.04473653234693407,99.06650347624914,80.02061461548074,0.15353392623739623,0.3894753376642335,0.04398460430136134
OAT,cmro2_std,0.775,0.775,,,-0.03493740605774498,0.03493740605774498,1.7468703020138137,2.034937406057745,0.040886294096861724,98.53949247022237,79.23579375404215,0.16341232115448945,0.38939013766856845,0.04019908054681393
OAT,cmro2_std,1.0,1.000,,,0.017791766348296267,0.017791766348296267,0.8895883169700192,1.9822082336517037,0.04026486370152246,100.4020712324452,80.2156953545849,0.16079247483412096,0.4005951659775197,0.03958809510368963
OAT,cmro2_true,1.0,1.00,,,0.0005317724208009356,0.0005317724208009356,0.053177242026916316,0.9994682275791991,0.04172080036878531,100.42241644090704,80.38956599333578,0.16100190630094383,0.26542145769696135,0.041019560504288295
OAT,cmro2_true,1.5,1.50,,,-0.05545287606570892,0.05545287606570892,3.696858401916022,1.555452876065709,0.04094354007566094,98.87844847617949,80.23774099386962,0.09971278549313511,0.19953508291420718,0.04025536433979549
OAT,cmro2_true,2.0,2.00,,,-0.04956323857743561,0.04956323857743561,2.4781619276326996,2.0495632385774356,0.04532035355387173,99.10380759873678,80.0076993398754,0.17104921606394957,0.43405205734300295,0.04455861268830455
OAT,cmro2_true,2.5,2.50,,,-0.04004201998575585,0.04004201998575585,1.6016807987895616,2.540042019985756,0.039262041020465266,98.73796512631903,79.23158194802501,0.282470329705573,0.9497430858836037,0.03860212778577894
OAT,obs_std,1.0,1.00,,,-0.01526260389526568,0.01526260389526568,0.7631301943817189,2.0152626038952657,0.02907803363933714,99.89469141634835,80.32634915139812,0.1029775775782446,0.2525450300228183,0.028589292383444452
OAT,obs_std,3.25,3.25,,,-0.04586512466865189,0.04586512466865189,2.2932562322859664,2.045865124668652,0.05980789919413707,99.27015712813855,80.14311292624022,0.13144207222615933,0.33399720479390727,0.0588026528240764
OAT,obs_std,5.5,5.50,,,-0.02918334109498444,0.02918334109498444,1.4591670540196384,2.0291833410949844,0.09244889660132927,99.45389948827236,79.90767422803091,0.11311567477189063,0.2855039097869887,0.09089502296629426
OAT,obs_std,7.75,7.75,,,0.01852083362978374,0.01852083362978374,0.926041681026166,1.9814791663702163,0.08333151559917296,99.4840340721257,79.22461729631063,0.2725270931268504,0.6847985035854869,0.08193088617235078
OAT,obs_std,10.0,10.00,,,0.026829920181738354,0.026829920181738354,1.3414960084161698,1.9731700798182616,0.09510006015448409,100.2956692504752,79.94025488654553,0.0832868526904941,0.21053571008841748,0.09350162597520399
OAT,pvessel_std,1.0,1.00,,,-0.009665587252434715,0.009665587252434715,0.48327936238009606,2.0096655872524347,0.051639268511698436,100.1324970241489,80.49602898170728,0.07876467348738521,0.18608073670316416,0.05077131983061414
OAT,pvessel_std,3.25,3.25,,,-0.08447200612941064,0.08447200612941064,4.223600304358731,2.0844720061294106,0.0399595019052474,98.82102875359469,80.50589255855581,0.13180906280101456,0.3271344564293097,0.039287865803981026
OAT,pvessel_std,5.5,5.50,,,-0.07231822279851974,0.07231822279851974,3.615911138118031,2.0723182227985197,0.04177665725477515,99.09815216681004,80.40315237637736,0.19898741942394807,0.5030037071019896,0.04107447855222094
OAT,pvessel_std,7.75,7.75,,,-0.007993074260470578,0.007993074260470578,0.39965371282370205,2.0079930742604706,0.04955723079340125,98.7658633829084,78.93379607089636,0.262366333693586,0.644635459209177,0.0487242768352022
OAT,pvessel_std,10.0,10.00,,,0.053836727169687126,0.053836727169687126,2.6918363571384383,1.9461632728303129,0.05438512020554988,100.67316566041421,79.79693239494547,0.0939411428780311,0.23553814325070105,0.053471019469550414
