section,sweep_param,sweep_value,sweep_label,param_B,value_B,signed_bias,cmro2_bias,cmro2_rel_bias,cmro2_mean,cmro2_std,R0_mean,pves_mean,pO2_abs_err,pO2_rel_err,spread
CROSS,R0_true,80.0,80,obs_std,1.0,-0.5018501515547213,0.5018501515547213,,,0.1681948156743461,,,3.1668768016615094,,
CROSS,R0_true,80.0,80,obs_std,3.25,-0.3639752534188001,0.3639752534188001,,,0.20290877245809563,,,3.149741469322119,,
CROSS,R0_true,80.0,80,obs_std,5.5,-0.1774635578965542,0.1774635578965542,,,0.2860809337627117,,,3.138340660922467,,
CROSS,R0_true,80.0,80,obs_std,7.75,-0.14074752974064575,0.14074752974064575,,,0.3303455567408791,,,2.9388958664513427,,
CROSS,R0_true,80.0,80,obs_std,10.0,-0.2079129008729752,0.2079129008729752,,,0.324734030544953,,,2.992662960264504,,
CROSS,R0_true,90.0,90,obs_std,1.0,-0.4418213437458425,0.4418213437458425,,,0.10763982878136676,,,3.5553251373562658,,
CROSS,R0_true,90.0,90,obs_std,3.25,-0.19123922187871356,0.19123922187871356,,,0.19359885238928584,,,3.9550588254902483,,
CROSS,R0_true,90.0,90,obs_std,5.5,-0.14631185412255032,0.14631185412255032,,,0.22004716749841838,,,3.9859116811967397,,
CROSS,R0_true,90.0,90,obs_std,7.75,-0.2114130402429888,0.2114130402429888,,,0.2353630234139327,,,4.208871195458343,,
CROSS,R0_true,90.0,90,obs_std,10.0,-0.18537641518171144,0.18537641518171144,,,0.2344410087532934,,,4.186862022682856,,
CROSS,R0_true,100.0,100,obs_std,1.0,-0.3731873663787235,0.3731873663787235,,,0.08303776347906451,,,4.8365866104164175,,
CROSS,R0_true,100.0,100,obs_std,3.25,-0.19015463952642353,0.19015463952642353,,,0.14562232664781055,,,4.169335171181791,,
CROSS,R0_true,100.0,100,obs_std,5.5,-0.1924140987791989,0.1924140987791989,,,0.1764068570038124,,,4.394794580216516,,
CROSS,R0_true,100.0,100,obs_std,7.75,-0.1777336718397371,0.1777336718397371,,,0.1831159540173576,,,4.64366389900245,,
CROSS,R0_true,100.0,100,obs_std,10.0,-0.10284891051592338,0.10284891051592338,,,0.18890106864766879,,,4.089128730051596,,
CROSS,R0_true,110.0,110,obs_std,1.0,-0.14927819271151854,0.14927819271151854,,,0.05610991040690345,,,5.04742925094753,,
CROSS,R0_true,110.0,110,obs_std,3.25,-0.24200600563094676,0.24200600563094676,,,0.11180388433109573,,,5.64871836580175,,
CROSS,R0_true,110.0,110,obs_std,5.5,-0.18899083170985298,0.18899083170985298,,,0.14073684547393595,,,5.812387751812016,,
CROSS,R0_true,110.0,110,obs_std,7.75,-0.16648107631204656,0.16648107631204656,,,0.14751603995182508,,,5.738292903651562,,
CROSS,R0_true,110.0,110,obs_std,10.0,-0.120501673169644,0.120501673169644,,,0.16128417081670868,,,5.73447201979059,,
CROSS,R0_true,120.0,120,obs_std,1.0,-0.3376861297809972,0.3376861297809972,,,0.04236004890972393,,,7.326764254164182,,
CROSS,R0_true,120.0,120,obs_std,3.25,-0.33493449343463055,0.33493449343463055,,,0.11935389750967099,,,6.844737589358903,,
CROSS,R0_true,120.0,120,obs_std,5.5,-0.20077706137957962,0.20077706137957962,,,0.12588160244210514,,,6.710333626509521,,
CROSS,R0_true,120.0,120,obs_std,7.75,-0.12992890178659122,0.12992890178659122,,,0.14088696634225262,,,6.910466937091766,,
CROSS,R0_true,120.0,120,obs_std,10.0,-0.10785200283521901,0.10785200283521901,,,0.14589942810147963,,,6.770355131471343,,
CROSS,cmro2_true,1.0,1.00,obs_std,1.0,-0.0645814798165032,0.0645814798165032,,,0.06220753821671479,,,2.026909754048549,,
CROSS,cmro2_true,1.0,1.00,obs_std,3.25,-0.15299256556306084,0.15299256556306084,,,0.09737492219701101,,,2.5461136482930633,,
CROSS,cmro2_true,1.0,1.00,obs_std,5.5,-0.051262492192349685,0.051262492192349685,,,0.13675167297195887,,,2.229521948697675,,
CROSS,cmro2_true,1.0,1.00,obs_std,7.75,-0.03313313195614276,0.03313313195614276,,,0.15349445642571888,,,2.192307440889136,,
CROSS,cmro2_true,1.0,1.00,obs_std,10.0,-0.07606213561120301,0.07606213561120301,,,0.15976185849176164,,,2.2482483756352667,,
