section,sweep_param,sweep_value,sweep_label,param_B,value_B,cmro2_bias,cmro2_rel_bias,cmro2_mean,cmro2_std,R0_mean,pves_mean,pO2_abs_err,pO2_rel_err,spread
OAT,pvessel_var,0.25,0.5,,,0.1877907811024504,9.389539055122519,2.1877907811024504,0.19886769902172025,100.25542151818512,79.85291319831963,4.331994226145198,11.090468018762635,0.1938322564190074
OAT,pvessel_var,1.0,1.0,,,0.21757003189138224,10.878501594569112,2.2175700318913822,0.09668450861589635,99.58701171430518,79.18060444715368,4.627606616658423,11.814000203320216,0.09423640218080521
OAT,pvessel_var,25.0,5.0,,,0.10130821946574997,5.065410973287499,2.10130821946575,0.25520019817744105,99.57230795858952,77.29780396497873,4.2260195858990475,10.710166695728926,0.248738384839001
OAT,pvessel_var,100.0,10.0,,,0.08859549586719018,4.429774793359509,2.08859549586719,0.29370403964391345,100.01814989822776,77.217257731938,4.707646145166422,11.894526815402585,0.2862672872648843
OAT,pvessel_var,400.0,20.0,,,0.19709564250215283,9.854782125107642,2.197095642502153,0.25105663001830913,100.62831575543892,80.65160492991228,4.089812143136117,10.37711623023987,0.24469973416892518
CROSS,cmro2_true,1.0,1.00,obs_var,1.0,0.1381757430743169,,,0.07175044284876546,,,2.6403265090952117,,
CROSS,cmro2_true,1.0,1.00,obs_var,25.0,0.08798722402372139,,,0.10935042073798713,,,1.7136441392907378,,
CROSS,cmro2_true,1.0,1.00,obs_var,100.0,0.0303212739672013,,,0.16918837352671667,,,2.2393724511406234,,
CROSS,cmro2_true,1.0,1.00,obs_var,2500.0,0.4973147465578498,,,0.4229650450351984,,,3.41125806939324,,
CROSS,cmro2_true,1.0,1.00,obs_var,10000.0,0.6815871568573371,,,0.5193125880586628,,,3.856127727196421,,
CROSS,cmro2_true,1.5,1.50,obs_var,1.0,0.30812163040304985,,,0.05288398326514567,,,4.107951378993551,,
CROSS,cmro2_true,1.5,1.50,obs_var,25.0,0.05512882570395217,,,0.11941076062420067,,,3.3215212280804143,,
