section,sweep_param,sweep_value,sweep_label,param_B,value_B,cmro2_bias,cmro2_rel_bias,cmro2_mean,cmro2_std,R0_mean,pves_mean,pO2_abs_err,pO2_rel_err,spread
OAT,cmro2_true,1.0,1.00,,,1.1485240171237265,114.85240171237265,2.1485240171237265,2.1410919823523957,99.71061342449198,76.0719236851643,26.379961544693835,44.13451953506625,2.1303596241303433
OAT,cmro2_true,1.5,1.50,,,0.477243590379399,31.816239358626603,1.977243590379399,1.88687072761548,101.19081205350938,75.54910111401257,15.350253882130508,30.935755843915018,1.8774126694216298
OAT,cmro2_true,2.0,2.00,,,0.058657764480193775,2.9328882240096887,1.9413422355198062,1.96732930659589,99.93579919233201,78.50686744351239,0.24975510775428908,0.592222502074833,1.9574679447145884
OAT,cmro2_true,2.5,2.50,,,0.992105118514478,39.68420474057912,1.507894881485522,2.2076306202734863,99.09202997501329,85.82138561789031,26.18987648801904,90.45879255106453,2.1965647329440143
OAT,cmro2_true,3.0,3.00,,,0.27885668688898146,9.295222896299382,2.7211433131110185,2.1743485597588004,98.81611719286413,72.17679280296257,0.6802221955551986,2.6913552431131698,2.1634495008508785
OAT,R0_true,80.0,80,,,0.0761302566885127,3.806512834425635,2.0761302566885127,2.039942414615082,78.03359780342866,78.00487016060036,1.5905296653182597,2.7340978879959614,2.02971707496295
OAT,R0_true,90.0,90,,,0.2237523049797976,11.187615248989879,2.2237523049797976,2.1039164310201457,90.21197226474301,79.82944560978332,3.7864621142542707,7.711637593618701,2.0933704175872414
OAT,R0_true,100.0,100,,,0.3018127956733436,15.090639783667182,2.3018127956733436,1.9516543021104464,98.19342347856343,83.6172710111044,0.7555015741592999,1.8611117723131347,1.9418715121749826
OAT,R0_true,110.0,110,,,0.13287670109930594,6.643835054965297,1.867123298900694,2.1188765667136327,108.62603491568181,83.66320860213618,8.555628398746565,32.03938957964521,2.1082555646596717
OAT,R0_true,120.0,120,,,0.5968993856074234,29.84496928037117,2.5968993856074234,1.9277517929091863,119.21099545106772,75.25737405444299,22.872175177820164,168.79553320523826,1.9180888158044032
OAT,R0_true,130.0,130,,,0.16356375259929767,8.178187629964883,1.8364362474007023,1.8371214418058115,128.73715639505318,85.35237462275481,13.372889589485654,766.8895506130588,1.8279127550359824
OAT,obs_var,1.0,1,,,0.3963513435004089,19.817567175020447,1.603648656499591,1.8080782004983984,98.0705483198687,63.04582797230448,7.706533227301112,19.11506320240481,1.7990150948022507
OAT,obs_var,25.0,5,,,0.0480859016814581,2.404295084072905,1.951914098318542,2.4553403681135633,101.53655430701903,83.74956857656579,2.7396176138100943,6.855219375191308,2.4430328200937392
OAT,obs_var,100.0,10,,,0.29277884312169755,14.638942156084877,2.2927788431216976,1.9485062983603456,99.01481466865285,64.4825441898532,20.25027354506873,51.34541808922401,1.9387392879916676
